epoch,train_loss,val_loss,train_wt_dice,val_wt_dice,val_tc_dice,val_et_dice,avg_val_dice,best_dice_so_far,lr
31,0.15480500582468804,0.25855251751397246,0.8845237664032145,0.8316273557973075,0.7385270512695831,0.7951353945047378,0.7884299338572095,0.7884299338572095,5e-05
32,0.1540090462986625,0.24963065703770707,0.8844340382530382,0.8237432727551127,0.7462931233263073,0.7900261781425513,0.7866875247413239,0.7884299338572095,5e-05
33,0.1500339101678688,0.24738567061331515,0.8866201105227743,0.8276844962493523,0.7510233159172646,0.7966227163245237,0.7917768428303802,0.7917768428303802,5e-05
34,0.1494939046141228,0.2478079973309711,0.8864369520410119,0.8320273991960746,0.7449540593246313,0.7949090319022621,0.7906301634743227,0.7917768428303802,5e-05
35,0.14679339012714862,0.25639325548354147,0.8874853975644588,0.8229606982086088,0.7395690264574978,0.7919611090035371,0.7848302778898812,0.7917768428303802,5e-05
36,0.14404377329817802,0.2627832501788031,0.8890036205060455,0.8230822894435662,0.7344111114657296,0.7909986338206938,0.78283067824333,0.7917768428303802,5e-05
37,0.14364362605724143,0.2555445620230028,0.889624077779019,0.8306201146720172,0.7380199221092558,0.7940027306109217,0.7875475891307316,0.7917768428303802,5e-05
38,0.140316343136978,0.26688503193297797,0.891429585488203,0.8143764087161818,0.7320453553061494,0.785997151470063,0.7774729718307981,0.7917768428303802,5e-05
39,0.14038645948206227,0.2500024733517866,0.8913605285953192,0.8265818983212218,0.7444577517490032,0.7924632182462024,0.7878342894388091,0.7917768428303802,2.5e-05
40,0.1320073751607046,0.257838352602887,0.895441937507675,0.823319840472895,0.7368163535909239,0.790178169512661,0.7834381211921598,0.7917768428303802,2.5e-05
41,0.1311200838424679,0.2527712336839079,0.8962812312488165,0.8264378032588459,0.7391524264378323,0.7898250041297185,0.7851384112754656,0.7917768428303802,2.5e-05
42,0.13045132468771872,0.2580162604840902,0.8974621663431547,0.8220148357478055,0.737722132658752,0.7929000089357442,0.7842123257807673,0.7917768428303802,2.5e-05
