epoch,train_loss,val_loss,train_wt_dice,val_wt_dice,val_tc_dice,val_et_dice,best_dice_so_far
18,0.36692124610268895,0.42243464693583394,0.8696709427438568,0.8305173555349971,0.6701782066764378,0.6936500328073288,0.7516630531856333
19,0.3640015588756762,0.4176759552601334,0.8723816586090498,0.8273002824687458,0.6672833643471411,0.6840698525953628,0.7516630531856333
20,0.3619921426682468,0.41936550492590124,0.8744476353582615,0.8306427111367246,0.6807889581657687,0.7078953824625627,0.7516630531856333
21,0.3214773275180824,0.2751102447119001,0.8703573922587703,0.836203254394598,0.7451225536276255,0.7660787091454042,0.7824681723892091
22,0.21949509914286822,0.25806904465637426,0.8665291486796307,0.8362821759460689,0.7569534758639512,0.763706372124198,0.785647341311406
23,0.20080708481377765,0.26561130590450305,0.8712302676945237,0.8329090007118412,0.742555982190568,0.7734906450593492,0.785647341311406
24,0.19790745981476635,0.2624238029747576,0.8730229661568528,0.832129966441568,0.7466466107704495,0.7737966928178618,0.785647341311406
25,0.19092629309091477,0.26491053817937005,0.8752500646446222,0.8339943896223615,0.7450463707532374,0.7745775217728753,0.785647341311406
26,0.18927884598785136,0.2649394775825468,0.8761489606891097,0.8275999100683452,0.7509801765795567,0.7732902662953339,0.785647341311406
27,0.18343480869835,0.2622042118565186,0.8787529623783317,0.828010402255125,0.7477045580241248,0.7727820248898504,0.785647341311406
28,0.18014960648232703,0.25757064739359425,0.8792168099232762,0.8243582972905019,0.7435088022573366,0.7852158823907017,0.785647341311406
29,0.16013114365576475,0.2561617397566463,0.8828850105010374,0.8221164723480499,0.7419572907598256,0.7937280459759327,0.7859339363612693
30,0.15370014322608277,0.2525741003707729,0.8853664340166635,0.8289659015990637,0.744187519542998,0.7912868837390141,0.7881467682936919
